127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/ressources/photo_de_profil.jpg HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:28:00 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11592
127.0.0.1 - - [26/Apr/2018:00:28:00 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:28:00 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:28:01 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:30:05 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:30:05 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 500 1893
127.0.0.1 - - [26/Apr/2018:00:30:05 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 500 1910
127.0.0.1 - - [26/Apr/2018:00:30:22 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:30:22 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 500 1893
127.0.0.1 - - [26/Apr/2018:00:30:22 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 500 1910
127.0.0.1 - - [26/Apr/2018:00:31:24 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:31:25 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 105
127.0.0.1 - - [26/Apr/2018:00:31:25 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 183
127.0.0.1 - - [26/Apr/2018:00:31:25 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:31:40 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 105
127.0.0.1 - - [26/Apr/2018:00:31:40 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 183
127.0.0.1 - - [26/Apr/2018:00:31:40 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:32:13 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:32:13 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:32:13 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 105
127.0.0.1 - - [26/Apr/2018:00:32:13 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 183
127.0.0.1 - - [26/Apr/2018:00:32:13 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:33:39 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:33:39 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 2
127.0.0.1 - - [26/Apr/2018:00:33:39 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 2
127.0.0.1 - - [26/Apr/2018:00:33:49 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 2
127.0.0.1 - - [26/Apr/2018:00:33:49 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 2
127.0.0.1 - - [26/Apr/2018:00:34:09 +0200] "GET / HTTP/1.1" 404 962
127.0.0.1 - - [26/Apr/2018:00:34:31 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
